door_count,fiscal_power,mileage,price,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking,brand,condition,fuel_type,model,origin,first_owner,sector,seller_city,transmission
5.0,8.0,2499.0,45000.0,2004.0,2024.0,10.0,14.0,2,0,198.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,22.0,0.0,0.0,4.0,1.0,0.0
3.0,6.0,72499.0,95000.0,2017.0,2025.0,2.0,11.0,3,0,78.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0
3.0,7.0,97499.0,60000.0,2005.0,2024.0,9.0,14.0,7,1,228.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,1.0,0.0,8.0,0.0,1.0,10.0,238.0,0.0
5.0,8.0,97499.0,55000.0,2010.0,2024.0,9.0,14.0,7,1,228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,128.0,0.0
5.0,6.0,32499.0,88000.0,2019.0,2025.0,3.0,13.0,5,0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0
5.0,8.0,104999.0,275000.0,2016.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,27.0,1.0
5.0,6.0,154999.0,120000.0,2013.0,2025.0,4.0,8.0,3,0,22.0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0,0.0
5.0,6.0,144999.0,35000.0,2001.0,2025.0,4.0,5.0,7,1,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,0.0,36.0,0.0,0.0,1.0,76.0,0.0
5.0,8.0,92499.0,270000.0,2020.0,2025.0,3.0,28.0,6,1,33.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,3.0,0.0,0.0,37.0,0.0,1.0,3.0,1.0,1.0
5.0,6.0,174999.0,100400.0,2012.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,21.0,1.0,0.0,63.0,0.0,0.0,2.0,19.0,0.0
5.0,6.0,224999.0,85000.0,2010.0,2025.0,3.0,23.0,1,0,38.0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,6.0,0.0,0.0,15.0,0.0,0.0,5.0,1.0,0.0
5.0,6.0,72499.0,130000.0,2020.0,2025.0,2.0,11.0,3,0,78.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,6.0,1.0,0.0,15.0,0.0,1.0,1.0,183.0,0.0
5.0,6.0,32499.0,86000.0,2012.0,2025.0,1.0,12.0,1,0,108.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,29.0,1.0,0.0,31.0,0.0,0.0,10.0,5.0,0.0
5.0,6.0,274999.0,67000.0,2009.0,2025.0,2.0,11.0,3,0,78.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,11.0,1.0,0.0,164.0,0.0,0.0,10.0,28.0,0.0
5.0,7.0,37499.0,46000.0,2000.0,2025.0,2.0,11.0,3,0,78.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,170.0,0.0,1.0
5.0,6.0,174999.0,31000.0,2004.0,2025.0,4.0,12.0,7,1,18.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22.0,0.0,1.0,155.0,0.0,0.0,8.0,15.0,0.0
5.0,7.0,37499.0,310000.0,2024.0,2025.0,3.0,21.0,6,1,40.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.0,0.0,1.0,53.0,3.0,1.0,7.0,197.0,0.0
5.0,6.0,164999.0,75000.0,2008.0,2025.0,2.0,11.0,3,0,78.0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,18.0,0.0
5.0,6.0,194999.0,77000.0,2011.0,2024.0,9.0,14.0,7,1,228.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,199.0,0.0
5.0,8.0,164999.0,252000.0,2015.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,8.0,1.0,0.0,38.0,0.0,0.0,4.0,67.0,1.0
