brand,condition,door_count,first_owner,fiscal_power,fuel_type,mileage,model,origin,price,sector,seller_city,transmission,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking
peugeot,Excellent,5,Oui,6,diesel,37499,208,WW au Maroc,149000,Rabat,Guich Oudaya,Manuelle,2021,2024,10,14,2,0,198,True,False,True,False,False,False,True,False,False,True,True,False,True,True,True,False
bmw,Excellent,5,Non,8,diesel,144999,X3,WW au Maroc,210000,Rabat,Hay Riad,Automatique,2015,2025,3,19,4,0,42,True,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False
renault,Très bon,5,Oui,6,diesel,92499,Kangoo,WW au Maroc,138000,El Jadida,Hay Essalam,Manuelle,2020,2025,1,12,1,0,108,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
audi,Excellent,5,Oui,8,diesel,224999,Q5,Importée neuve,410000,Kenitra,Centre,Automatique,2018,2025,3,29,7,1,32,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
audi,Très bon,5,Oui,8,diesel,144999,A5,WW au Maroc,188000,Casablanca,Oulfa,Automatique,2015,2025,2,11,3,0,78,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False
mercedes-benz,Très bon,5,Oui,6,diesel,82499,Classe A,WW au Maroc,220000,Casablanca,Californie,Automatique,2017,2025,4,4,6,1,26,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
skoda,Très bon,5,Non,8,diesel,184999,Octavia,WW au Maroc,120000,Agadir,Ben Serguaou,Manuelle,2013,2025,1,12,1,0,108,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
peugeot,Bon,5,Non,7,diesel,374999,307,Dédouanée,65000,Tanger,Bel Air - Val fleuri,Manuelle,2006,2025,2,11,3,0,78,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
audi,Très bon,5,Oui,6,diesel,114999,A3,WW au Maroc,175000,Casablanca,Californie,Automatique,2013,2025,4,3,5,0,27,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
renault,Très bon,5,Non,6,diesel,134999,Clio,WW au Maroc,136000,Fes,Oued Fès,Manuelle,2018,2025,2,11,3,0,78,True,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False
peugeot,Excellent,5,Non,8,essence,17499,206,WW au Maroc,34000,Casablanca,Ain Sebaa,Manuelle,2009,2024,10,14,2,0,198,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
porsche,Excellent,5,Oui,11,essence,77499,Macan,Importée neuve,610000,Agadir,Founty,Automatique,2020,2025,2,11,3,0,78,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
mercedes-benz,Excellent,5,Oui,8,diesel,194999,Classe E,WW au Maroc,310000,Marrakech,Av Mohammed V,Automatique,2018,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False
hyundai,Très bon,5,Non,6,diesel,274999,Accent,WW au Maroc,50000,Temara,Ain Atig,Manuelle,2006,2025,4,9,4,0,21,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
nissan,Très bon,5,Non,7,essence,194999,Sunny,WW au Maroc,55000,Khouribga,Toute la ville,Manuelle,2004,2025,3,13,5,0,48,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
toyota,Très bon,5,Non,8,diesel,274999,Corolla Verso,WW au Maroc,78000,Agadir,Tilila,Manuelle,2006,2025,1,12,1,0,108,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False
